Noise_Type,SNR_dB,Filter_Method,Expected_Cmd,Offline_ASR_Text,Offline_Acc,Online_ASR_Text,Online_Acc
white,-5,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,-5,Spectral_Subtraction,light eka danna,light eka,0,නොදන්නා විධානයකි,0
white,-5,Static_Wiener,light eka danna,light,0,නොදන්නා විධානයකි,0
white,-5,Wavelet_Denoising,light eka danna,,0,නොදන්නා විධානයකි,0
white,-5,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,-5,Butterworth_Bandpass,light eka danna,light eka,0,නොදන්නා විධානයකි,0
white,-5,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Wavelet_Denoising,light eka danna,light,0,නොදන්නා විධානයකි,0
white,0,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,0,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Wavelet_Denoising,light eka danna,light niwanna,0,ලයිට් එක නිවන්න,0
white,5,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,5,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,10,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
white,15,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,-5,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,0,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,5,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,10,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
fan,15,Proposed_VGDWF,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Unfiltered,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Spectral_Subtraction,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Static_Wiener,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Wavelet_Denoising,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Spectral_Gating,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
street,-5,Butterworth_Bandpass,light eka danna,light eka danna,1,ලයිට් එක දාන්න,1
